txn_id,user_id,timestamp,amount,currency,merchant,merchant_category,city,country,channel,is_foreign,is_high_amount,velocity_24h,device_fingerprint,ip_country,merchant_risk_score,label_fraud,user_reported_issue
t_user_001_00000,user_001,2025-09-05T01:22:55.698974Z,24.44,USD,PastaHouse,dining,Porterside,US,POS,0,0,5,dev_PUC,US,0.1,1,False
t_user_001_00001,user_001,2025-08-15T07:37:55.698974Z,79.83,USD,VeggieStop,groceries,Rosetown,US,POS,0,0,4,dev_PUC,US,0.07,0,False
t_user_001_00002,user_001,2025-08-12T07:05:55.698974Z,7.18,USD,PastaHouse,dining,Escobarborough,US,online,0,0,2,dev_PUC,US,0.11,0,False
t_user_001_00003,user_001,2025-09-06T22:43:55.698974Z,4917.43,USD,TacoTown,dining,Emilyhaven,US,atm,0,1,1,dev_PUC,US,0.07,0,False
t_user_001_00004,user_001,2025-10-04T06:44:55.698974Z,15.09,USD,VeggieStop,groceries,Port Jennifer,US,POS,0,0,2,dev_PUC,US,0.09,0,False
t_user_001_00005,user_001,2025-08-26T11:33:55.698974Z,18.19,USD,PastaHouse,dining,Taylorfort,US,atm,0,0,6,dev_PUC,US,0.07,0,False
t_user_001_00006,user_001,2025-08-23T12:31:55.698974Z,4.75,USD,InsuranceCo,others,Grahamstad,US,atm,0,0,4,dev_PUC,US,0.04,0,False
t_user_001_00007,user_001,2025-09-17T01:13:55.698974Z,10.62,USD,UtilitiesCo,others,Yangton,US,online,0,0,4,dev_PUC,US,0.08,0,False
t_user_001_00008,user_001,2025-09-29T18:04:55.698974Z,33.92,USD,FreshMart,groceries,Mcdonaldborough,US,atm,0,0,5,dev_PUC,US,0.06,0,False
t_user_001_00009,user_001,2025-10-10T09:09:55.698974Z,0.74,USD,PastaHouse,dining,New Tiffanyshire,US,atm,0,0,6,dev_PUC,US,0.13,0,False
t_user_001_00010,user_001,2025-10-28T23:04:55.698974Z,7.69,USD,PastaHouse,dining,New Sean,US,POS,0,0,3,dev_PUC,US,0.12,0,False
t_user_001_00011,user_001,2025-09-11T23:10:55.698974Z,15.32,USD,UtilitiesCo,others,New Sherry,US,online,0,0,5,dev_PUC,US,0.07,0,False
t_user_001_00012,user_001,2025-09-30T23:32:55.698974Z,3.53,USD,SubscriptionSvc,others,Portertown,US,online,0,0,1,dev_PUC,US,0.08,0,False
t_user_001_00013,user_001,2025-09-21T19:15:55.698974Z,8.29,USD,UnknownElectronics,electronics,Hollowayfort,US,POS,0,0,4,dev_PUC,US,0.28,0,False
t_user_001_00014,user_001,2025-09-20T06:37:55.698974Z,54.03,USD,BudgetJet,travel,New Kimberlymouth,US,atm,0,0,5,dev_PUC,US,0.17,0,False
t_user_001_00015,user_001,2025-09-07T02:49:55.698974Z,15.19,USD,BudgetJet,travel,West Ruthmouth,JP,POS,1,0,5,dev_PUC,JP,0.14,0,False
t_user_001_00016,user_001,2025-10-24T03:01:55.698974Z,1.6,USD,InsuranceCo,others,Darrylberg,US,POS,0,0,1,dev_PUC,US,0.02,0,False
t_user_001_00017,user_001,2025-10-17T11:36:55.698974Z,28.26,USD,SubscriptionSvc,others,East Angela,US,atm,0,0,2,dev_PUC,US,0.04,0,False
t_user_001_00018,user_001,2025-09-16T16:55:55.698974Z,3.88,USD,InsuranceCo,others,New Meghan,US,online,0,0,4,dev_PUC,US,0.03,0,False
t_user_001_00019,user_001,2025-09-10T22:37:55.698974Z,19.83,USD,VeggieStop,groceries,Alexandershire,US,atm,0,0,4,dev_PUC,US,0.04,0,False
t_user_001_00020,user_001,2025-10-08T18:39:55.698974Z,5.8,USD,UtilitiesCo,others,Lake Jenniferside,US,atm,0,0,6,dev_PUC,US,0.03,0,False
t_user_001_00021,user_001,2025-09-01T03:41:55.698974Z,7.69,USD,VeggieStop,groceries,Hickmanfurt,US,POS,0,0,6,dev_PUC,US,0.04,0,False
t_user_001_00022,user_001,2025-09-06T15:51:55.698974Z,13.3,USD,TacoTown,dining,Samanthafort,US,POS,0,0,1,dev_PUC,US,0.07,0,False
t_user_001_00023,user_001,2025-09-30T16:08:55.698974Z,4.38,USD,TacoTown,dining,East Michaelhaven,US,atm,0,0,1,dev_PUC,US,0.1,0,False
t_user_001_00024,user_001,2025-08-15T13:17:55.698974Z,7.58,USD,ElectroHub,electronics,West David,US,atm,0,0,3,dev_PUC,US,0.27,0,False
t_user_001_00025,user_001,2025-10-03T02:06:55.698974Z,14.48,USD,UnknownElectronics,electronics,Lake Michelleside,US,POS,0,0,4,dev_PUC,US,0.25,0,False
t_user_001_00026,user_001,2025-09-11T09:57:55.698974Z,5.11,USD,FreshMart,groceries,Clarkberg,US,POS,0,0,3,dev_PUC,US,0.08,0,False
t_user_001_00027,user_001,2025-09-08T09:33:55.698974Z,16.55,USD,ElectroHub,electronics,Wilsonhaven,US,POS,0,0,3,dev_PUC,US,0.25,0,False
t_user_001_00028,user_001,2025-10-26T05:05:55.698974Z,10.38,USD,FreshMart,groceries,Kathleenfurt,US,POS,0,0,3,dev_PUC,US,0.07,0,False
t_user_001_00029,user_001,2025-09-16T14:34:55.698974Z,51.21,USD,TacoTown,dining,Rogersfort,US,online,0,0,2,dev_PUC,US,0.12,0,False
t_user_001_00030,user_001,2025-10-02T13:46:55.698974Z,19.4,USD,SushiSpot,dining,East Amy,US,atm,0,0,4,dev_PUC,US,0.1,0,False
t_user_001_00031,user_001,2025-09-26T12:17:55.698974Z,27.29,USD,TacoTown,dining,Jessicastad,US,POS,0,0,5,dev_PUC,US,0.1,0,False
t_user_001_00032,user_001,2025-10-26T23:29:55.698974Z,0.18,USD,InsuranceCo,others,Williamsberg,US,atm,0,0,1,dev_PUC,US,0.08,0,False
t_user_001_00033,user_001,2025-10-03T14:23:55.698974Z,888.37,USD,PastaHouse,dining,North Gary,US,POS,0,0,6,dev_PUC,US,0.06,0,False
t_user_001_00034,user_001,2025-09-02T14:08:55.698974Z,7.01,USD,PastaHouse,dining,Currymouth,US,online,0,0,1,dev_PUC,US,0.11,0,False
t_user_001_00035,user_001,2025-09-01T04:42:55.698974Z,22.45,USD,PastaHouse,dining,East Davidtown,US,POS,0,0,5,dev_PUC,US,0.07,0,False
t_user_001_00036,user_001,2025-10-10T22:51:55.698974Z,23.5,USD,GadgetWorld,electronics,Markstad,US,atm,0,0,1,dev_PUC,US,0.26,0,False
t_user_001_00037,user_001,2025-09-21T23:15:55.698974Z,53.85,USD,UtilitiesCo,others,East Gwendolynside,US,atm,0,0,2,dev_PUC,US,0.07,0,False
t_user_001_00038,user_001,2025-08-29T02:45:55.698974Z,40.63,USD,UnknownElectronics,electronics,Griffithstad,US,online,0,0,1,dev_PUC,US,0.23,0,False
t_user_001_00039,user_001,2025-08-29T13:06:55.698974Z,0.79,USD,SushiSpot,dining,South Angel,JP,atm,1,0,5,dev_PUC,JP,0.09,0,False
t_user_001_00040,user_001,2025-09-18T09:47:55.698974Z,7.08,USD,CornerCafe,groceries,Lake Davidberg,US,atm,0,0,3,dev_PUC,US,0.07,0,False
t_user_001_00041,user_001,2025-10-20T09:40:55.698974Z,1.94,USD,PastaHouse,dining,West Heidi,US,online,0,0,5,dev_PUC,US,0.09,0,False
t_user_001_00042,user_001,2025-08-17T06:55:55.698974Z,5.07,USD,CornerCafe,groceries,Russellport,US,atm,0,0,1,dev_PUC,US,0.07,0,False
t_user_001_00043,user_001,2025-10-27T04:37:55.698974Z,48.7,USD,ATM Network,atm,South Lindsay,US,online,0,0,4,dev_PUC,US,0.03,0,False
t_user_001_00044,user_001,2025-09-18T01:33:55.698974Z,3.91,USD,FreshMart,groceries,Elizabethfort,US,online,0,0,3,dev_PUC,US,0.04,0,False
t_user_001_00045,user_001,2025-08-12T18:35:55.698974Z,23.05,USD,UtilitiesCo,others,West Gina,US,POS,0,0,4,dev_PUC,US,0.04,0,False
t_user_001_00046,user_001,2025-08-16T08:19:55.698974Z,7.27,USD,FreshMart,groceries,Michaelshire,JP,POS,1,0,6,dev_PUC,JP,0.05,0,False
t_user_001_00047,user_001,2025-10-11T06:41:55.698974Z,13.39,USD,InsuranceCo,others,West Tanyamouth,US,atm,0,0,2,dev_PUC,US,0.04,0,False
t_user_001_00048,user_001,2025-11-05T20:14:55.698974Z,1.96,USD,ElectroHub,electronics,Lake Saraberg,US,POS,0,0,1,dev_PUC,US,0.24,0,False
t_user_001_00049,user_001,2025-08-12T03:10:55.698974Z,2960.24,USD,SushiSpot,dining,West Lisaberg,US,POS,0,1,6,dev_PUC,US,0.09,0,False
t_user_001_00050,user_001,2025-10-21T02:59:55.698974Z,13.56,USD,ElectroHub,electronics,Batestown,US,POS,0,0,3,dev_PUC,US,0.24,0,False
t_user_001_00051,user_001,2025-08-27T07:52:55.698974Z,5.92,USD,UnknownElectronics,electronics,Johnchester,US,atm,0,0,4,dev_PUC,US,0.28,0,False
t_user_001_00052,user_001,2025-09-29T11:35:55.698974Z,9.21,USD,CornerCafe,groceries,Port Brenda,US,online,0,0,6,dev_PUC,US,0.09,0,False
t_user_001_00053,user_001,2025-09-20T10:56:55.698974Z,36.01,USD,ElectroHub,electronics,Bryanmouth,US,online,0,0,2,dev_PUC,US,0.29,0,False
t_user_001_00054,user_001,2025-08-13T10:05:55.698974Z,15.97,USD,SushiSpot,dining,Paulbury,US,POS,0,0,6,dev_PUC,US,0.09,0,False
t_user_001_00055,user_001,2025-08-23T17:59:55.698974Z,21.15,USD,SkylinesTravel,travel,South Briannaview,US,online,0,0,3,dev_PUC,US,0.17,0,False
t_user_001_00056,user_001,2025-10-21T06:17:55.698974Z,1085.1,USD,VeggieStop,groceries,West Joannaburgh,US,online,0,0,3,dev_PUC,US,0.09,0,False
t_user_001_00057,user_001,2025-09-06T13:56:55.698974Z,19.09,USD,SubscriptionSvc,others,East Cindyton,US,POS,0,0,3,dev_PUC,US,0.08,0,False
t_user_001_00058,user_001,2025-10-10T03:03:55.698974Z,0.45,USD,SushiSpot,dining,Bishopside,US,online,0,0,1,dev_PUC,US,0.06,0,False
t_user_001_00059,user_001,2025-10-26T05:35:55.698974Z,5.0,USD,HotelComfort,travel,Port Sherry,US,online,0,0,2,dev_PUC,US,0.18,0,False
t_user_001_00060,user_001,2025-11-08T14:04:55.698974Z,2.07,USD,TacoTown,dining,Mooreshire,US,online,0,0,1,dev_PUC,US,0.09,0,False
t_user_001_00061,user_001,2025-08-29T04:02:55.698974Z,27.24,USD,SushiSpot,dining,East Sara,US,atm,0,0,1,dev_PUC,US,0.12,0,False
t_user_001_00062,user_001,2025-09-13T06:14:55.698974Z,86.23,USD,PastaHouse,dining,Jimenezshire,US,online,0,0,1,dev_PUC,US,0.08,0,False
t_user_001_00063,user_001,2025-11-06T03:42:55.698974Z,57.62,USD,SubscriptionSvc,others,New Eric,US,online,0,0,2,dev_PUC,US,0.04,0,False
t_user_001_00064,user_001,2025-10-24T11:47:55.698974Z,17.41,USD,VeggieStop,groceries,Curtisview,US,atm,0,0,6,dev_PUC,US,0.05,0,False
t_user_001_00065,user_001,2025-08-20T07:57:55.698974Z,10.63,USD,VeggieStop,groceries,Vincentburgh,US,atm,0,0,4,dev_PUC,US,0.08,0,False
t_user_001_00066,user_001,2025-11-04T10:49:55.698974Z,19.43,USD,VeggieStop,groceries,Bullockborough,US,atm,0,0,3,dev_PUC,US,0.09,0,False
t_user_001_00067,user_001,2025-11-04T20:12:55.698974Z,34.89,USD,SubscriptionSvc,others,Michaelburgh,US,POS,0,0,5,dev_PUC,US,0.09,0,False
t_user_001_00068,user_001,2025-10-17T14:13:55.698974Z,575.31,USD,FreshMart,groceries,Matthewside,US,POS,0,0,6,dev_PUC,US,0.05,0,False
t_user_001_00069,user_001,2025-10-05T15:36:55.698974Z,24.73,USD,PastaHouse,dining,Lake Stephen,US,online,0,0,3,dev_PUC,US,0.08,0,False
t_user_001_00070,user_001,2025-09-05T16:30:55.698974Z,39.27,USD,InsuranceCo,others,Dianaborough,US,online,0,0,2,dev_PUC,US,0.03,0,False
t_user_001_00071,user_001,2025-10-03T00:37:55.698974Z,30.85,USD,TacoTown,dining,Heathshire,US,online,0,0,1,dev_PUC,US,0.09,0,False
t_user_001_00072,user_001,2025-08-18T02:34:55.698974Z,10.03,USD,PastaHouse,dining,Doylefort,US,atm,0,0,5,dev_PUC,US,0.12,0,False
t_user_001_00073,user_001,2025-09-30T00:09:55.698974Z,21.22,USD,BudgetJet,travel,South Carla,US,atm,0,0,6,dev_PUC,US,0.16,0,False
t_user_001_00074,user_001,2025-08-12T05:51:55.698974Z,17.93,USD,VeggieStop,groceries,Daltonberg,US,atm,0,0,5,dev_PUC,US,0.05,1,False
t_user_001_00075,user_001,2025-08-29T06:57:55.698974Z,12.81,USD,FreshMart,groceries,Edwardport,US,online,0,0,5,dev_PUC,US,0.04,0,False
t_user_001_00076,user_001,2025-10-25T22:40:55.698974Z,48.18,USD,UtilitiesCo,others,South Reneestad,US,atm,0,0,2,dev_PUC,US,0.07,0,False
t_user_001_00077,user_001,2025-10-20T18:37:55.698974Z,12.16,USD,PastaHouse,dining,Arroyoshire,US,online,0,0,2,dev_PUC,US,0.08,0,False
t_user_001_00078,user_001,2025-09-27T18:34:55.698974Z,47.94,USD,UtilitiesCo,others,South Paul,US,POS,0,0,3,dev_PUC,US,0.03,0,False
t_user_001_00079,user_001,2025-08-20T04:15:55.698974Z,8.22,USD,ATM Network,atm,Lake Kentport,US,atm,0,0,4,dev_PUC,US,0.02,0,False
t_user_001_00080,user_001,2025-09-22T07:37:55.698974Z,7.45,USD,InsuranceCo,others,West Beverly,US,POS,0,0,3,dev_PUC,US,0.03,0,False
t_user_001_00081,user_001,2025-09-05T16:07:55.698974Z,15.44,USD,InsuranceCo,others,New Brittany,US,POS,0,0,2,dev_PUC,US,0.07,0,False
t_user_001_00082,user_001,2025-10-12T22:34:55.698974Z,7.62,USD,UnknownElectronics,electronics,Christopherside,US,POS,0,0,2,dev_PUC,US,0.27,0,False
t_user_001_00083,user_001,2025-09-01T22:54:55.698974Z,24.18,USD,PastaHouse,dining,North Richard,JP,POS,1,0,3,dev_PUC,JP,0.07,0,False
t_user_001_00084,user_001,2025-10-24T12:56:55.698974Z,2.29,USD,UtilitiesCo,others,North Matthew,US,atm,0,0,1,dev_PUC,US,0.02,0,False
t_user_001_00085,user_001,2025-10-05T18:32:55.698974Z,27.62,USD,InsuranceCo,others,East Michael,US,POS,0,0,4,dev_PUC,US,0.08,0,False
t_user_001_00086,user_001,2025-08-12T23:13:55.698974Z,15.83,USD,SushiSpot,dining,Port Elizabeth,US,POS,0,0,3,dev_PUC,US,0.11,0,False
t_user_001_00087,user_001,2025-10-02T12:08:55.698974Z,30.88,USD,SubscriptionSvc,others,Rangelborough,US,atm,0,0,5,dev_PUC,US,0.05,0,False
t_user_001_00088,user_001,2025-08-23T14:25:55.698974Z,11.18,USD,TacoTown,dining,Salasland,US,POS,0,0,6,dev_PUC,US,0.06,0,False
t_user_001_00089,user_001,2025-10-02T05:17:55.698974Z,6.76,USD,SubscriptionSvc,others,Port Patriciafort,US,atm,0,0,4,dev_PUC,US,0.09,0,False
t_user_001_00090,user_001,2025-10-21T05:13:55.698974Z,36.19,USD,SkylinesTravel,travel,Mcdanielburgh,US,online,0,0,4,dev_PUC,US,0.16,0,False
t_user_001_00091,user_001,2025-09-01T11:46:55.698974Z,8.21,USD,FreshMart,groceries,West Tiffany,US,online,0,0,1,dev_PUC,US,0.1,0,False
t_user_001_00092,user_001,2025-11-06T02:12:55.698974Z,16.15,USD,InsuranceCo,others,Armstrongberg,US,POS,0,0,4,dev_PUC,US,0.03,0,False
t_user_001_00093,user_001,2025-09-14T08:11:55.698974Z,1.49,USD,SushiSpot,dining,Galvanshire,US,POS,0,0,6,dev_PUC,US,0.09,0,False
t_user_001_00094,user_001,2025-09-16T03:15:55.698974Z,3.79,USD,SushiSpot,dining,Lake Kathyland,US,atm,0,0,5,dev_PUC,US,0.12,0,False
t_user_001_00095,user_001,2025-10-27T05:52:55.698974Z,15.3,USD,FreshMart,groceries,Richardmouth,US,atm,0,0,4,dev_PUC,US,0.09,0,False
t_user_001_00096,user_001,2025-08-24T17:09:55.698974Z,393.05,USD,UtilitiesCo,others,North Marybury,US,online,0,0,4,dev_PUC,US,0.04,0,False
t_user_001_00097,user_001,2025-09-20T02:19:55.698974Z,4.83,USD,SubscriptionSvc,others,Mccartyshire,US,atm,0,0,6,dev_PUC,US,0.02,0,False
t_user_001_00098,user_001,2025-08-28T18:34:55.698974Z,7.04,USD,CornerCafe,groceries,North Matthew,US,online,0,0,4,dev_PUC,US,0.07,0,False
t_user_001_00099,user_001,2025-08-19T17:17:55.698974Z,17.27,USD,FreshMart,groceries,North Kiarabury,US,POS,0,0,2,dev_PUC,US,0.05,0,False
t_user_001_00100,user_001,2025-10-18T21:03:55.698974Z,50.32,USD,SubscriptionSvc,others,Richardmouth,US,POS,0,0,4,dev_PUC,US,0.04,0,False
t_user_001_00101,user_001,2025-09-28T13:45:55.698974Z,11.53,USD,UnknownElectronics,electronics,Frankview,US,online,0,0,6,dev_PUC,US,0.25,0,False
t_user_001_00102,user_001,2025-08-24T18:41:55.698974Z,31.55,USD,PastaHouse,dining,North Bethanyburgh,US,online,0,0,5,dev_PUC,US,0.07,0,False
t_user_001_00103,user_001,2025-09-21T19:22:55.698974Z,18.18,USD,BudgetJet,travel,Josephview,US,atm,0,0,6,dev_PUC,US,0.16,0,False
t_user_001_00104,user_001,2025-09-20T12:09:55.698974Z,2.98,USD,VeggieStop,groceries,Smithchester,US,POS,0,0,4,dev_PUC,US,0.03,0,False
